feature;lld;parameter_group
F0semitoneFrom275Hzsma3nzamean;pitch;frequency
F0semitoneFrom275Hzsma3nzstddevNorm;pitch;frequency
F0semitoneFrom275Hzsma3nzpercentile200;pitch;frequency
F0semitoneFrom275Hzsma3nzpercentile500;pitch;frequency
F0semitoneFrom275Hzsma3nzpercentile800;pitch;frequency
F0semitoneFrom275Hzsma3nzpctlrange02;pitch;frequency
F0semitoneFrom275Hzsma3nzmeanRisingSlope;pitch;frequency
F0semitoneFrom275Hzsma3nzstddevRisingSlope;pitch;frequency
F0semitoneFrom275Hzsma3nzmeanFallingSlope;pitch;frequency
F0semitoneFrom275Hzsma3nzstddevFallingSlope;pitch;frequency
loudnesssma3amean;loudness;energy_amplitude
loudnesssma3stddevNorm;loudness;energy_amplitude
loudnesssma3percentile200;loudness;energy_amplitude
loudnesssma3percentile500;loudness;energy_amplitude
loudnesssma3percentile800;loudness;energy_amplitude
loudnesssma3pctlrange02;loudness;energy_amplitude
loudnesssma3meanRisingSlope;loudness;energy_amplitude
loudnesssma3stddevRisingSlope;loudness;energy_amplitude
loudnesssma3meanFallingSlope;loudness;energy_amplitude
loudnesssma3stddevFallingSlope;loudness;energy_amplitude
spectralFluxsma3amean;spectral_flux;spectral
spectralFluxsma3stddevNorm;spectral_flux;spectral
mfcc1sma3amean;mfcc_1;spectral
mfcc1sma3stddevNorm;mfcc_1;spectral
mfcc2sma3amean;mfcc_2;spectral
mfcc2sma3stddevNorm;mfcc_2;spectral
mfcc3sma3amean;mfcc_3;spectral
mfcc3sma3stddevNorm;mfcc_3;spectral
mfcc4sma3amean;mfcc_4;spectral
mfcc4sma3stddevNorm;mfcc_4;spectral
jitterLocalsma3nzamean;jitter;frequency
jitterLocalsma3nzstddevNorm;jitter;frequency
shimmerLocaldBsma3nzamean;shimmer;energy_amplitude
shimmerLocaldBsma3nzstddevNorm;shimmer;energy_amplitude
HNRdBACFsma3nzamean;harmonics_to_noise_ratio;energy_amplitude
HNRdBACFsma3nzstddevNorm;harmonics_to_noise_ratio;energy_amplitude
logRelF0H1H2sma3nzamean;harmonic_difference_h1h2;spectral
logRelF0H1H2sma3nzstddevNorm;harmonic_difference_h1h2;spectral
logRelF0H1A3sma3nzamean;harmonic_difference_h1a3;spectral
logRelF0H1A3sma3nzstddevNorm;harmonic_difference_h1a3;spectral
F1frequencysma3nzamean;format1_frequency;frequency
F1frequencysma3nzstddevNorm;format1_frequency;frequency
F1bandwidthsma3nzamean;format1_bandwidth;frequency
F1bandwidthsma3nzstddevNorm;format1_bandwidth;frequency
F1amplitudeLogRelF0sma3nzamean;format1_amplitude;energy_amplitude
F1amplitudeLogRelF0sma3nzstddevNorm;format1_amplitude;energy_amplitude
F2frequencysma3nzamean;format2_frequency;frequency
F2frequencysma3nzstddevNorm;format2_frequency;frequency
F2bandwidthsma3nzamean;format2_bandwidth;frequency
F2bandwidthsma3nzstddevNorm;format2_bandwidth;frequency
F2amplitudeLogRelF0sma3nzamean;format2_amplitude;energy_amplitude
F2amplitudeLogRelF0sma3nzstddevNorm;format2_amplitude;energy_amplitude
F3frequencysma3nzamean;format3_frequency;frequency
F3frequencysma3nzstddevNorm;format3_frequency;frequency
F3bandwidthsma3nzamean;format3_bandwidth;frequency
F3bandwidthsma3nzstddevNorm;format3_bandwidth;frequency
F3amplitudeLogRelF0sma3nzamean;format3_amplitude;energy_amplitude
F3amplitudeLogRelF0sma3nzstddevNorm;format3_amplitude;energy_amplitude
alphaRatioVsma3nzamean;alpha_ratio;spectral
alphaRatioVsma3nzstddevNorm;alpha_ratio;spectral
hammarbergIndexVsma3nzamean;hammarberg_index;spectral
hammarbergIndexVsma3nzstddevNorm;hammarberg_index;spectral
slopeV0500sma3nzamean;spectral_slope_0500;spectral
slopeV0500sma3nzstddevNorm;spectral_slope_0500;spectral
slopeV5001500sma3nzamean;spectral_slope_5001500;spectral
slopeV5001500sma3nzstddevNorm;spectral_slope_5001501;spectral
spectralFluxVsma3nzamean;spectral_flux;spectral
spectralFluxVsma3nzstddevNorm;spectral_flux;spectral
mfcc1Vsma3nzamean;mfcc_1;spectral
mfcc1Vsma3nzstddevNorm;mfcc_1;spectral
mfcc2Vsma3nzamean;mfcc_2;spectral
mfcc2Vsma3nzstddevNorm;mfcc_2;spectral
mfcc3Vsma3nzamean;mfcc_3;spectral
mfcc3Vsma3nzstddevNorm;mfcc_3;spectral
mfcc4Vsma3nzamean;mfcc_4;spectral
mfcc4Vsma3nzstddevNorm;mfcc_4;spectral
alphaRatioUVsma3nzamean;alpha_ratio;spectral
hammarbergIndexUVsma3nzamean;hammarberg_index;spectral
slopeUV0500sma3nzamean;spectral_slope_0500;spectral
slopeUV5001500sma3nzamean;spectral_slope_5001500;spectral
spectralFluxUVsma3nzamean;spectral_flux;spectral
loudnessPeaksPerSec;loudness;temporal
VoicedSegmentsPerSec;voiced_regions;temporal
MeanVoicedSegmentLengthSec;voiced_regions;temporal
StddevVoicedSegmentLengthSec;voiced_regions;temporal
MeanUnvoicedSegmentLength;unvoiced_regions;temporal
StddevUnvoicedSegmentLength;unvoiced_regions;temporal
equivalentSoundLeveldBp;equivalent_sound_level;energy_amplitude